address,city,state,zip,price,sqft,bedrooms,bathrooms,days_on_zillow,sale_type,url
Shady Hill Rd,WESTON,MA,02493,NA,3631.0,5.0,4.5,146,Pre-Foreclosure,"http://www.zillow.com/homes/for_sale/247210066_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
Crescent St,Weston,MA,02493,NA,3026.0,5.0,3.5,286,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/240065071_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
North Ave,Weston,MA,02493,NA,3950.0,4.0,3.0,476,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/190893474_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
Hallett Hill Rd,WESTON,MA,02493,NA,2025.0,4.0,2.5,91,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/166148544_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
101 Washington St,WESTWOOD,MA,02090,659000,2550.0,3.0,3.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/101-Washington-St-Westwood-MA-02090/57516677_zpid/
15 Connors Pl,WESTWOOD,MA,02090,364999,930.0,2.0,1.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/15-Connors-Pl-Westwood-MA-02090/57516572_zpid/
43 Wentworth St,WESTWOOD,MA,02090,439000,1167.0,2.0,1.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/43-Wentworth-St-Westwood-MA-02090/57516594_zpid/
754 High St,WESTWOOD,MA,02090,649000,2456.0,4.0,3.0,46,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/754-High-St-Westwood-MA-02090/57516398_zpid/
28 Lynn Ter,WESTWOOD,MA,02090,995000,2989.0,4.0,3.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/28-Lynn-Ter-Westwood-MA-02090/57515863_zpid/
178 Alder Rd,WESTWOOD,MA,02090,1695000,5700.0,5.0,7.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/178-Alder-Rd-Westwood-MA-02090/57519786_zpid/
386 Oak St,WESTWOOD,MA,02090,1429000,4779.0,5.0,5.0,62,New Construction,http://www.zillow.com/homes/for_sale//homedetails/386-Oak-St-Westwood-MA-02090/57519832_zpid/
57 Edgewood Rd,WESTWOOD,MA,02090,599502,1792.0,3.0,2.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/57-Edgewood-Rd-Westwood-MA-02090/57519536_zpid/
17 Kilronan Rd,WESTWOOD,MA,02090,1299000,4457.0,4.0,4.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/17-Kilronan-Rd-Westwood-MA-02090/57518043_zpid/
48 Birchtree Dr,WESTWOOD,MA,02090,769000,1808.0,3.0,2.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/48-Birchtree-Dr-Westwood-MA-02090/57516343_zpid/
169 Mill St,WESTWOOD,MA,02090,650000,1514.0,4.0,2.0,20,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/169-Mill-St-Westwood-MA-02090/57517237_zpid/
376 Canton St,WESTWOOD,MA,02090,989000,3046.0,4.0,4.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/376-Canton-St-Westwood-MA-02090/57519091_zpid/
105 Mill St,WESTWOOD,MA,02090,675000,2200.0,4.0,3.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/105-Mill-St-Westwood-MA-02090/57518457_zpid/
145 Blue Hill Dr,WESTWOOD,MA,02090,679900,2007.0,4.0,3.0,84,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/145-Blue-Hill-Dr-Westwood-MA-02090/57518101_zpid/
117 Hillview Rd,WESTWOOD,MA,02090,434900,1124.0,3.0,2.0,132,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/117-Hillview-Rd-Westwood-MA-02090/57516537_zpid/
34 Briarwood Dr,WESTWOOD,MA,02090,930000,3444.0,4.0,4.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/34-Briarwood-Dr-Westwood-MA-02090/57518851_zpid/
66 Martha Jones Rd,WESTWOOD,MA,02090,1395000,4669.0,6.0,6.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/66-Martha-Jones-Rd-Westwood-MA-02090/57519487_zpid/
102 Greenacre Rd,WESTWOOD,MA,02090,579900,1148.0,3.0,2.0,NA,Coming Soon,http://www.zillow.com/homes/for_sale//homedetails/102-Greenacre-Rd-Westwood-MA-02090/57518725_zpid/
935 High St,Westwood,MA,02090,695000,2076.0,4.0,2.0,62,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/935-High-St-Westwood-MA-02090/2088960939_zpid/
665 Clapboardtree St,WESTWOOD,MA,02090,2395000,7485.0,7.0,7.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/665-Clapboardtree-St-Westwood-MA-02090/57517605_zpid/
2 Stevens Cir,WESTWOOD,MA,02090,1849000,4676.0,5.0,6.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/2-Stevens-Cir-Westwood-MA-02090/57520109_zpid/
42 Dela Park Rd,WESTWOOD,MA,02090,1589900,4574.0,4.0,4.0,92,New Construction,http://www.zillow.com/homes/for_sale//homedetails/42-Dela-Park-Rd-Westwood-MA-02090/123567156_zpid/
29 Harwich Cir,WESTWOOD,MA,02090,1300000,3769.0,4.0,3.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/29-Harwich-Cir-Westwood-MA-02090/57516427_zpid/
36 Woodridge Rd,WESTWOOD,MA,02090,1795000,6300.0,4.0,6.0,29,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/36-Woodridge-Rd-Westwood-MA-02090/57519899_zpid/
165 Nahatan St,WESTWOOD,MA,02090,650000,1415.0,4.0,2.0,29,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/165-Nahatan-St-Westwood-MA-02090/57517296_zpid/
46 Arcadia Rd,WESTWOOD,MA,02090,1595000,6468.0,5.0,6.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/46-Arcadia-Rd-Westwood-MA-02090/57518652_zpid/
1450 High St,WESTWOOD,MA,02090,879000,2449.0,5.0,3.0,111,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/1450-High-St-Westwood-MA-02090/57519402_zpid/
